title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Ariel,movie,Comedy,1988,tt0094675,7.40,9216.00
Ariel,movie,Crime,1988,tt0094675,7.40,9216.00
Ariel,movie, Drama,1988,tt0094675,7.40,9216.00
Shadows in Paradise,movie,Comedy,1986,tt0092149,7.40,8043.00
Shadows in Paradise,movie, Drama,1986,tt0092149,7.40,8043.00
Shadows in Paradise,movie, Music,1986,tt0092149,7.40,8043.00
Forrest Gump,movie,Drama,1994,tt0109830,8.80,2386121.00
Forrest Gump,movie, Romance,1994,tt0109830,8.80,2386121.00
American Beauty,movie,Drama,1999,tt0169547,8.30,1250986.00
The Fifth Element,movie,Action,1997,tt0119116,7.60,528190.00
The Fifth Element,movie, Adventure,1997,tt0119116,7.60,528190.00
The Fifth Element,movie, Sci-Fi,1997,tt0119116,7.60,528190.00
Jarhead,movie,Biography,2005,tt0418763,7.00,216106.00
Jarhead,movie, Drama,2005,tt0418763,7.00,216106.00
Jarhead,movie, War,2005,tt0418763,7.00,216106.00
Unforgiven,movie,Drama,1992,tt0105695,8.20,455519.00
Unforgiven,movie, Western,1992,tt0105695,8.20,455519.00
Eternal Sunshine of the Spotless Mind,movie,Drama,2004,tt0338013,8.30,1139345.00
Eternal Sunshine of the Spotless Mind,movie, Romance,2004,tt0338013,8.30,1139345.00
Eternal Sunshine of the Spotless Mind,movie, Sci-Fi,2004,tt0338013,8.30,1139345.00
Amores Perros,movie,Drama,2000,tt0245712,8.00,268218.00
Amores Perros,movie, Thriller,2000,tt0245712,8.00,268218.00
A History of Violence,movie,Action,2005,tt0399146,7.40,264964.00
A History of Violence,movie, Crime,2005,tt0399146,7.40,264964.00
A History of Violence,movie, Drama,2005,tt0399146,7.40,264964.00
Talk to Her,movie,Drama,2002,tt0287467,7.90,120086.00
Talk to Her,movie, Mystery,2002,tt0287467,7.90,120086.00
Talk to Her,movie, Romance,2002,tt0287467,7.90,120086.00
8 Mile,movie,Drama,2002,tt0298203,7.20,338975.00
