title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9216
Shadows in Paradise,movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8043
Forrest Gump,movie,"Drama, Romance",1994,tt0109830,8.8,2386121
American Beauty,movie,Drama,1999,tt0169547,8.3,1250986
The Fifth Element,movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,528190
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,216106
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,455519
Eternal Sunshine of the Spotless Mind,movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1139345
Amores Perros,movie,"Drama, Thriller",2000,tt0245712,8,268218
A History of Violence,movie,"Action, Crime, Drama",2005,tt0399146,7.4,264964
Talk to Her,movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120086
8 Mile,movie,"Drama, Music",2002,tt0298203,7.2,338975
Paradise Now,movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24528
Million Dollar Baby,movie,"Drama, Sport",2004,tt0405159,8.1,747634
Billy Elliot,movie,"Drama, Music",2000,tt0249462,7.7,148202
American History X,movie,"Crime, Drama",1998,tt0120586,8.5,1233586
Mars Attacks!,movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252630
Before Sunrise,movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,360170
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1382109
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,190936
Before Sunset,movie,"Drama, Romance",2004,tt0381681,8.1,303031
Nausicaä of the Valley of the Wind,movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,191074
Open Water,movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,57957
Raiders of the Lost Ark,movie,"Action, Adventure",1981,tt0082971,8.4,1076779
Indiana Jones and the Temple of Doom,movie,"Action, Adventure",1984,tt0087469,7.5,553256
Dirty Dancing,movie,"Drama, Music, Romance",1987,tt0092890,7.1,269954
Indiana Jones and the Last Crusade,movie,"Action, Adventure",1989,tt0097576,8.2,840413
Beverly Hills Cop,movie,"Action, Comedy, Crime",1984,tt0086960,7.4,224457
Beverly Hills Cop II,movie,"Action, Comedy, Crime",1987,tt0092644,6.6,143759
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1765365
All About My Mother,movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,106970
Léon: The Professional,movie,"Action, Crime, Drama",1994,tt0110413,8.5,1305731
Open Hearts,movie,"Drama, Romance",2002,tt0315543,7.5,11307
Taxi Driver,movie,"Crime, Drama",1976,tt0075314,8.2,981815
Run Lola Run,movie,"Action, Crime, Thriller",1998,tt0130827,7.6,213717
Back to the Future,movie,"Adventure, Comedy, Sci-Fi",1985,tt0088763,8.5,1381720
Snatch,movie,"Comedy, Crime",2000,tt0208092,8.2,948125
Scarface,movie,"Crime, Drama",1983,tt0086250,8.3,968981
Italian for Beginners,movie,"Comedy, Drama, Romance",2000,tt0243862,7,14229
The Untouchables,movie,"Crime, Drama, Thriller",1987,tt0094226,7.8,344157
Charlie and the Chocolate Factory,movie,"Adventure, Comedy, Family",2005,tt0367594,6.7,552239
The Lord of the Rings: The Fellowship of the Ring,movie,"Adventure, Drama, Fantasy",2001,tt0120737,8.9,2114193
The Lord of the Rings: The Two Towers,movie,"Adventure, Drama, Fantasy",2002,tt0167261,8.8,1878627
The Lord of the Rings: The Return of the King,movie,"Adventure, Drama, Fantasy",2003,tt0167260,9,2084111
Princess Mononoke,movie,"Adventure, Animation, Fantasy",1997,tt0119698,8.3,461840
Spirited Away,movie,"Adventure, Animation, Family",2001,tt0245429,8.6,913785
"O Brother, Where Art Thou?",movie,"Adventure, Comedy, Crime",2000,tt0190590,7.7,341945
Groundhog Day,movie,"Comedy, Drama, Fantasy",1993,tt0107048,8,718109
Bad Education,movie,"Crime, Drama",2004,tt0275491,7.4,64986
Donnie Darko,movie,"Drama, Mystery, Sci-Fi",2001,tt0246578,8,884204
Brokeback Mountain,movie,"Drama, Romance",2005,tt0388795,7.7,401896
"Crouching Tiger, Hidden Dragon",movie,"Action, Adventure, Drama",2000,tt0190332,7.9,288468
Akira,movie,"Animation, Drama, Fantasy",1988,tt0094625,8,216403
48 Hrs.,movie,"Action, Comedy, Crime",1982,tt0083511,6.9,89927
Lost in Translation,movie,"Comedy, Drama",2003,tt0335266,7.7,511754
The Dark Knight,movie,"Action, Crime, Drama",2008,tt0468569,9,3029218
Ocean's Eleven,movie,"Crime, Thriller",2001,tt0240772,7.7,648378
Ocean's Twelve,movie,"Crime, Thriller",2004,tt0349903,6.5,427556
Back to the Future Part II,movie,"Adventure, Comedy, Sci-Fi",1989,tt0096874,7.8,599183
Saw,movie,"Horror, Mystery, Thriller",2004,tt0387564,7.6,490722
Minority Report,movie,"Action, Crime, Mystery",2002,tt0181689,7.6,603745
Jackie Brown,movie,"Crime, Drama, Thriller",1997,tt0119396,7.5,390525
Sin City,movie,"Crime, Thriller",2005,tt0401792,8,808490
Sin City: A Dame to Kill For,movie,"Action, Crime, Thriller",2014,tt0458481,6.5,175097
The Name of the Rose,movie,"Drama, Mystery, Thriller",1986,tt0091605,7.7,123027
Amélie,movie,"Comedy, Romance",2001,tt0211915,8.3,819989
Back to the Future Part III,movie,"Adventure, Comedy, Sci-Fi",1990,tt0099088,7.5,501591
Saw III,movie,"Horror, Mystery, Thriller",2006,tt0489270,6.2,221594
Saw II,movie,"Horror, Mystery",2005,tt0432348,6.6,288324
Indiana Jones and the Kingdom of the Crystal Skull,movie,"Action, Adventure",2008,tt0367882,6.2,503825
Volver,movie,"Comedy, Drama",2006,tt0441909,7.6,110428
Stand by Me,movie,"Adventure, Comedy, Drama",1986,tt0092005,8.1,465818
The Godfather,movie,"Crime, Drama",1972,tt0068646,9.2,2132038
The Godfather Part II,movie,"Crime, Drama",1974,tt0071562,9,1434564
In China They Eat Dogs,movie,"Action, Comedy, Crime",1999,tt0180748,7.3,23903
Ghost,movie,"Drama, Fantasy, Romance",1990,tt0099653,7.1,248266
Willy Wonka & the Chocolate Factory,movie,"Adventure, Comedy, Family",1971,tt0067992,7.8,237478
King Kong,movie,"Action, Adventure, Romance",2005,tt0360717,7.2,460122
Live Flesh,movie,Drama,1997,tt0118819,7.3,34828
Batman,movie,"Action, Adventure",1989,tt0096895,7.5,420277
Batman Begins,movie,"Action, Crime, Drama",2005,tt0372784,8.2,1649988
The Shawshank Redemption,movie,Drama,1994,tt0111161,9.3,3053781
Terminator 2: Judgment Day,movie,"Action, Adventure, Sci-Fi",1991,tt0103064,8.6,1235789
A River Runs Through It,movie,Drama,1992,tt0105265,7.2,67928
Meet Joe Black,movie,"Drama, Fantasy, Romance",1998,tt0119643,7.2,284104
Ocean's Thirteen,movie,"Crime, Thriller",2007,tt0496806,6.9,378242
Rio Bravo,movie,Western,1959,tt0053221,8,71162
Swimming Pool,movie,"Crime, Drama, Mystery",2003,tt0324133,6.7,50116
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,tt0109254,5.5,97684
"Rome, Open City",movie,"Drama, Thriller, War",1945,tt0038890,8,32199
Bruce Almighty,movie,"Comedy, Fantasy",2003,tt0315327,6.8,453730
Mystic River,movie,"Crime, Drama, Mystery",2003,tt0327056,7.9,504905
Once Upon a Time in the West,movie,"Drama, Western",1968,tt0064116,8.5,369398
Night on Earth,movie,"Comedy, Drama",1991,tt0102536,7.7,68885
Eyes Wide Shut,movie,"Drama, Mystery, Thriller",1999,tt0120663,7.5,400796
Batman Returns,movie,"Action, Crime, Fantasy",1992,tt0103776,7.1,340510
Das Boot,movie,"Drama, War",1981,tt0082096,8.4,279854
Inside Man,movie,"Crime, Drama, Mystery",2006,tt0454848,7.6,413916
Chocolat,movie,"Drama, Romance",2000,tt0241303,7.2,206929
Basic Instinct,movie,"Drama, Mystery, Thriller",1992,tt0103772,7.1,232719
Driving Miss Daisy,movie,"Comedy, Drama",1989,tt0097239,7.3,121306
Summer in Berlin,movie,Drama,2005,tt0477877,6.9,3052
8½,movie,Drama,1963,tt0056801,8,129494
The Pianist,movie,"Biography, Drama, Music",2002,tt0253474,8.5,970804
Schindler's List,movie,"Biography, Drama, History",1993,tt0108052,9,1528426
Vertigo,movie,"Mystery, Romance, Thriller",1958,tt0052357,8.2,446022
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,tt0319262,6.5,497705
La Dolce Vita,movie,"Comedy, Drama",1960,tt0053779,8,82700
Sissi,movie,"Comedy, Drama, History",1955,tt0048624,7,10583
Sissi: The Young Empress,movie,"Drama, History",1956,tt0049762,6.6,7717
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,tt0050974,6.6,6312
Erin Brockovich,movie,"Biography, Drama",2000,tt0195685,7.5,234865
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,tt0382330,7.5,18752
My Own Private Idaho,movie,Drama,1991,tt0102494,6.9,64639
Stranger Than Paradise,movie,"Comedy, Drama",1984,tt0088184,7.4,42135
Shaft,movie,"Action, Crime, Thriller",2000,tt0162650,6,83218
The African Queen,movie,"Adventure, Drama, Romance",1951,tt0043265,7.7,86935
Good Will Hunting,movie,"Drama, Romance",1997,tt0119217,8.3,1141524
The Seventh Seal,movie,"Drama, Fantasy",1957,tt0050976,8.1,209188
The Green Mile,movie,"Crime, Drama, Fantasy",1999,tt0120689,8.6,1490041
Reservoir Dogs,movie,"Crime, Thriller",1992,tt0105236,8.3,1134860
Poseidon,movie,"Action, Adventure, Thriller",2006,tt0409182,5.7,113258
Monster,movie,"Biography, Crime, Drama",2003,tt0340855,7.3,168144
Marnie,movie,"Crime, Drama, Mystery",1964,tt0058329,7.1,56278
Love Actually,movie,"Comedy, Drama, Romance",2003,tt0314331,7.6,559229
Notting Hill,movie,"Comedy, Drama, Romance",1999,tt0125439,7.2,366189
One Flew Over the Cuckoo's Nest,movie,Drama,1975,tt0073486,8.7,1120135
Casino,movie,"Crime, Drama",1995,tt0112641,8.2,594096
The Blues Brothers,movie,"Adventure, Comedy, Crime",1980,tt0080455,7.9,222397
Once Were Warriors,movie,"Crime, Drama",1994,tt0110729,7.9,38229
Wallace & Gromit: A Close Shave,movie,"Animation, Comedy, Crime",1995,tt0112691,8.1,46674
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005,tt0312004,7.5,153652
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,tt0438488,6.5,386264
Flashdance,movie,"Drama, Music, Romance",1983,tt0085549,6.2,62086
Psycho,movie,"Drama, Horror, Mystery",1960,tt0054215,8.5,754598
D.E.B.S.,movie,"Action, Comedy, Romance",2004,tt0367631,5.4,18870
Rashomon,movie,"Crime, Drama, Mystery",1950,tt0042876,8.2,189911
Dogville,movie,"Crime, Drama",2003,tt0276919,8,164442
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,tt0145487,7.4,925641
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,tt0316654,7.5,748668
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,tt0413300,6.3,670525
Constantine,movie,"Action, Fantasy, Horror",2005,tt0360486,7,393748
Starship Troopers,movie,"Action, Adventure, Sci-Fi",1997,tt0120201,7.3,335854
The Mummy,movie,"Action, Adventure, Fantasy",1999,tt0120616,7.1,483182
Rear Window,movie,"Drama, Mystery, Thriller",1954,tt0047396,8.5,548328
Apollo 13,movie,"Adventure, Drama, History",1995,tt0112384,7.7,326879
The Birds,movie,"Drama, Horror, Mystery",1963,tt0056869,7.6,213334
Next Door,movie,"Mystery, Thriller",2005,tt0453383,6.4,10945
Frenzy,movie,"Drama, Thriller",1972,tt0068611,7.4,51503
The Man Who Knew Too Much,movie,"Crime, Drama, Mystery",1956,tt0049470,7.4,72798
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,tt0405094,8.4,428771
